SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Robert Walne,,,Merchantman,,,4/22/1816,1816,4,22,Sandy Hook,,,Stranded,,England,,,,,,,"London, England","New York, NY",,,,,,,,,Y,N,Some cargo saved,
Rockaway,,,Steamer,1877,"Norfolk, VA",3/26/1877,1877,3,26,Atlantic City,39-20-54 N,74-24-36 W,Stranded,,US,285,64,11.5,1950,,,"Norfolk, VA","New York, NY",,,,0,,,,,Y,N,"Total loss; In tow of ""Wyanoke""",
Roda,,English & American Shipping Co,Freighter,1897,"Dumbarton, England",2/13/08,1908,2,13,Jones Beach LSS SE .75 mi,,,Stranded,Steel,England,315,44,20,2516,,"London, England","Huelva, Spain","New York, NY",W J Beavan,27,,0,80000,22680,Copper ore,Jones Beach,Y,Y,Broke up; Total loss,
Roraima,,Thoe Ruger,Steamer,1879,"Hartlepool, England",2/1/1881,1881,2,1,Shark River Inlet,,,Stranded,Iron,England,225.6,31,17.2,1178,761,"London, England","Demerara, British Guiana","New York, NY",,21,2,0,,,In ballast,Shark River # 7,N,Y,Refloated,See scrapbooks 38 - 43 - Purple Misc
S A Rudolph,,,Schooner,1882,"Camden, NJ",2/6/1889,1889,2,6,Island Beach LSS N .5 mi,,,Stranded,Wood,US,121,23.6,8.5,207,197,"Philadelphia, PA","Washington, NC","New York, NY",Mullen,6,,0,8000,2000,Lumber,Island Beach & Toms River,N,N,#115900; Refloated; Towed to NY,
S Greenwood,,,Sloop,1866,"Noank, CT",5/9/1888,1888,5,9,Absecon Inlet,,,Stranded,Wood,US,36,14,5,15.07,14.32,"New York, NY","Atlantic City, NJ","New York, NY",Greenwood,2,,0,2100,,None,Atlantic City,N,N,#116118; Refloated,
S H McRae,,,Schooner,,,12/13/1850,1850,12,13,Cape May N 10 mi,,,Stranded,,,,,,,,"New Bern, NC","New Bern, NC","New York, NY",,,,,,,,,Y,N,Total loss,
S I Roberts,,,Bark,,,2/20/1843,1843,2,20,Absecon Beach,,,Stranded,,,,,,,,,"Marseilles, France","New York, NY",,,,,,,,,Y,N,Total loss,
S J Delan (1869),,,Schooner,1869,"Islip, NY",2/2/1877,1877,2,2,Tuckers Beach,,,Stranded,,,59.4,20,5.2,36,23,"Onancock, VA","Hog Island, VA","New York, NY",Mears,4,,0,4000,1000,Corn,Little Egg,N,N,#23823; Refloated,
S O Co of NY #57,,,Barge,1892,"Chester, PA",2/20/1893,1893,2,20,Ocean City SE 2 mi,,,Stranded,Steel,US,241.5,37,18,1381.18,1310.14,"New York, NY","Havana, Cuba","New York, NY",Chase,9,,0,50000,67200,Sugar,Ocean City,N,N,#116528; Refloated,See Misc File Drawer
Saale (1900),Princess; J L Luckenbach,North German Lloyd,Passenger,1886,"Glasgow, Scotland",6/30/00,1900,6,30,"Hoboken, NJ",,,Burned,Steel,Germany,439.6,48.1,34.6,5381,4964,"Breman, Germany","Bremen, Germany","New York, NY",J Mirow,,,80,,,,,N,N,Refloated; Repaired,
Sacramento,,W E Weld,Ship,1865,"Boston, MA",12/16/1867,1867,12,16,Deal Beach,,,Mechanical damage,,US,200,37.1,23.7,1418,,"Boston, MA","Boston, MA","New York, NY",,,,,168000,,,,N,N,Towed in,
Sadie,,J P Millage,Bark,1866,"Short Harbor, NS",2/19/1879,1879,2,19,Point Pleasant LSS E .75 mi,,,Stranded,,,140.7,30.2,16.9,514.17,,"Boston, MA","Antwerp, Belgium","New York, NY",H D Gregory,10,,0,15000,,,Pt Pleasant #10,,N,#23825,
Saginaw,Benson,W A Clyne Co,Steamer,1883,"Harrow, England",3/24/1897,1897,3,24,Long Beach LSS NE 1.5 mi,,,Stranded,Iron,,238,34.3,17.1,1835,1429,"New York, NY","Les Cayes, Haiti","New York, NY",Johnson,13,20,0,100000,25000,500 ton logwood,Long Beach,N,N,"#116240; Refloated; formerly ""Benson""",
Salier,,,Steamer,1875,"Hull, England",12/11/1882,1882,12,11,Sandy Hook,,,Stranded,Iron,Germany,354,39,,3098,,"Bremen, Germany","Bremen, Germany","New York, NY",,,341,0,,,,,,N,,
Salisbury,,G Cleagh & Co,Steamer,1878,"Newcastle, England",2/11/1885,1885,2,11,Brigantine Shoal,39 24 00 N,74 18 00 W,Stranded,Iron,England,287,34.5,24.6,1977,1278,"North Shields, England","Baltimore, MD","New York, NY",J. Davison,26,,0,125000,,,,,N,,
Sally (1823),,,Schooner,,,1/1823,1823,1,,Cape May,,,Stranded,,,,,,,,,"Norfolk, VA","New York, NY",,,,1,,,,,,N,,
Salpeen,,Robert M Riddle,Yacht,1897,,7/13/01,1901,7,13,"Seabright, NJ",,,Collision,Wood,US,,,,29.24,,"Philadelphia, PA","Essington, PA","Glen Cove, NY",Robert M Riddle,7,1,1,12000,,None,,N,N,#116759; Partial damage,
Samuel H Sharp (1907),,,Schooner,1862,"Mauricetown, NJ",1/25/07,1907,1,25,Cape May LSS SSE 2.5 mi,,,Stranded,Wood,US,114.4,28.9,9.9,236,207,"New York, NY","Bermuda Hundred, VA","New York, NY",Stroveland,6,,0,3000,1000,Pine wood,Cape May,Y,N,#22972; Total loss,
Samuel L Storer,"Also see ""Bremen"", ""Main"", ""Saale"", ""Kaiser Wilhelm der Grosse""",,Schooner,1882,"Greenpoint, NY",5/17/00,1900,5,17,Ocean City LSS E 1.25 mi,,,Stranded,,,66,21.2,9,59,56,"Greenpoint, NY","Hatteras, NC","New York, NY",Graber,13,,0,6000,1000,Fish,Ocean City,Y,N,Total Loss,
Samuel P Lord,S P Lord,,Schooner,,,1/12/1856,1856,1,12,Deal Beach,,,Stranded,,,,,,,,,"Baltimore, MD","New York, NY",Smith,,,,,,Wheat & Corn,,,N,,
Samuel Phillips,,,Schooner,,,2/5/1843,1843,2,5,Barnegat Inlet N 12 mi,,,Stranded,,,,,,,,,"Alexandria, VA","New York, NY",Pretlyman,,,,,,,,Y,N,Presumed lost,
Samuel Warren,,John W Hall,Schooner,1864,"Frederica, DE",2/2/1880,1880,2,21,Little Egg LSS,,,Stranded,,US,,,,88,,"Frederica, DE","Millville, NJ","New York, NY",Daniel Loper,4,0,0,3000,125,Plastering sand,Little Egg #23,Y,N,#23303; Total loss,
Samuel Willets,,Tapscott's Line,Sloop,1854,"Mystic, CT",7/2/1857,1857,7,2,Squan Inlet S 8 mi,39-59-24 N,74-03-30 W,Stranded,Wood,US,,,19,1386,,"Mystic, CT","Liverpool, England","New York, NY","Eliliu Spicer, Jr",16,,0,80000,,4 ponies,Chadwick #12,Y,N,Cargo saved; ship lost,
San Diego USS,,U S Navy,Armored Cruiser,1904,"San Francisco, CA",7/19/18,1918,7,19,Fire Island S 10 mi,40 38 59 N,73 06 89 W,War loss,Steel,US,503,69.5,26,13680,,,"Portsmouth, NH","New York, NY",HH Christy,1237,,50,,,,,Y,Y,,
San Jose,,United Fruit Co,Freighter,1904,"Belfast, Ireland",1/17/42,1942,1,17,Atlantic City SE 14 mi,39-14.65 N,74-08.67 W,Collision,Steel,US,330,44.6,31,3358,1932,,"Puerto Barissa, Guatamala","New York, NY",,40,,0,,,Coffee,,Y,Y,#119146; Total loss,
San Miguel,,M Sanchez,Brig,1838,,7/18/1879,1879,7,18,Absecon SSE 35 mi,,,Collision,,Spain,,,,104,,Palwa,"Havana, Cuba","New York, NY",Casos,,,,,,,,N,N,Partial loss; Put in to New York,
Sansego,,Mircovich,Bark,,,3/11/1881,1881,3,11,Absecon Inlet,,,Collision,,Austria,,,,560,,,"Calcutta, India","New York, NY",Mircovich,12,3,,,,,,Y,N,Total Loss  Sunk,
Sant Francisco Di Paulo,,,,,,10/7/1794,1794,10,7,Little Egg Harbor bar,,,Stranded,,,,,,,,"Genoa, Italy","Nantz, France","New York, NY",Nicholas Catuline,,,1,,,,,Y,N,Total Loss; Captain lost,
Sarah A Green,,N Blanchard,Schooner,1865,"East Boston, MA",4/5/1868,1868,4,5,"Ludlams Beach, NJ",39.09-12 N,74-41-12 W,Stranded,,,,,,94,,"Boston, MA","Boston, MA","New York, NY",Elliot,5,,0,,,General cargo,,Y,N,Vessel lost; cargo saved,
Sarah Quinn,,,Schooner,1868,"Tuckerton, NJ",12/23/1878,1878,12,23,Swan Point LSS S 200 yds,,,Stranded,,,,,,113.58,107.91,"New York, NY","Port of Yorktown, Virginia","New York, NY",Lee,5,,0,3000,325,Pine wood,Swan Point #11,N,N,#23502; Refloated,
Scotland (1887),,,Bark,1881,"Hantsport, NS",12/17/1887,1887,12,17,Squan Beach LSS N 1.5 mi,,,Stranded,,England,202,37,24,1499,,"Windsor, NS","Liverpool, England","New York, NY",Munroe,22,,0,20000,16000,9000 barrels; 300 ton soda ash,Squan Beach & Spring Lake,N,Y,Refloated,Scrapbook #15
Sea Duck,,,Ship,,,4/1853,1853,4,,Long Beach Island,,,Stranded,,,,,,,,,"Havre, France","New York, NY",,,200,0,,,,,,N,All rescued using surfcar,
Select,,,Schooner,,,11/7/1842,1842,11,7,Shrewsbury Inlet,,,Stranded,,,,,,,,"Great Egg Harbor, NJ","Richmond, VA","New York, NY",Powers,4,,4,,,Coal,,Y,N,Total loss,
Seminole (1908),,Clyde SS Co,Steamer,1886,"Philadelphia, PA",5/25/08,1908,5,25,Squan Beach LSS S 1.25 mi,,,Stranded,Iron,,264,43,18.8,2556,1966,"New York, NY","Santo Domingo, Dom Rep","New York, NY",,16,,0,200000,250000,"Hides, coffee, etc",Squan Beach & Bay Head,N,N,"#116132; Refloated by tug ""Relief""",
Shakespeare (1871),,R Sloman,Ship,1855,"Newport, RI",1/4/1871,1871,1,4,,,,Collision,Iron,Germany,196.4,32.3,20.4,877,,"Hamburg, Germany","Hamburg, Germany","New York, NY",H Boysen,,,,,,,,,N,,
Shamrock (1842),,,Brig,,,11/10/1842,1842,11,10,Barnegat,,,Stranded,,US,,,,,,"Yarmouth, NS","Turks Is., West Indies","New York, NY",,,,0,,,1500 bushel salt,,Y,N,Total loss,
Shekinah (1882),,,Schooner,1869,"Millville, NJ",1/30/1882,1882,1,30,Little Egg LSS S 1 mi,,,Stranded,,,80.6,22.3,6,83.5,,"Bridgeton, NJ","Chincoteague, VA","New York, NY",Shaw,4,,0,3000,250,Cordwood,Little Egg #23,N,N,#115018; Refloated,
Shetucket,,,Steamer,1844,"Norwich, CT",1/19/1870,1870,1,19,Cape May,38-55-47 N,74-55-00 W,Stranded,,,,,,270,183,"New York, NY","Philadelphia, PA","New York, NY",Taylor,16,,0,,,"Coal, guano",,Y,N,#23165; Cargo saved; Ship lost,
Simla,Simila,J M Tredick,Schooner,1863,"Portsmouth, NH",1/6/1877,1877,1,6,Harvey Cedars LSS S 1 mi,39-41-20 N,74-08-00 W,Stranded,Wood,US,179,36,23,1110,,"Portsmouth, NH","Marseilles, France","New York, NY",Salters,20,,0,54000,,In ballast,Harvey Cedars,Y,N,#23022; Sank; Total loss,
Sindia,,Anglo-American Oil Co,Bark,1887,"Belfast, Ireland",12/15/01,1901,12,15,"Ocean City, NJ",39-16-00 N,74-35-12 W,Stranded,Steel,England,329.3,45.2,26.7,3068,2929,"London, England","Kobe, Japan","New York, NY",McKenzie,33,,0,100000,500000,General cargo from Japan,Ocean City,Y,Y,#93757; GSN# 20081793; Total loss,
Sommerstadt,Virginia,A F Klaveness & Co,Steamer,1906,"Newcastle, England",8/12/18,1918,8,12,Fire Island SE 25 mi,40-07.41 N,73-52.30 W,War loss,Steel,Norway,340,47.1,27.3,3875,,"Sandefjord, Norway","Bergen, Norway","New York, NY",George Hansen,,,,,,In ballast,,Y,Y,#5602752; War loss,
Sophia T Winterton,,J R Winterton,Schooner,1873,"Keyport, NJ",3/27/1877,1877,3,27,Barnegat Light S 8 mi,,,Collision,,,,,,77,,"Keyport, NJ","York River, VA","New York, NY",Jackson,,,,,,,,N,N,#115214; Towed in,
South,,,Brig,1855,,2/11/1856,1856,2,11,Squan Inlet S 3 mi,,,Stranded,,,,,,,,,"Galveston, TX","New York, NY",Picken,10,,0,,,"Cotton, molasses, sugar",,N,N,Probably refloated,
South American,,Henry Hastings,Ship,1876,"Boston, MA",4/1/1886,1886,4,1,Sandy Hook Swash Channel,,,Stranded,,US,227.5,41.6,25.2,1762,,"Boston, MA","Hong Kong, China","New York, NY",Fowler,28,0,0,100000,500000,Tea & merchandise,,N,N,#115491; Refloated,
South Carolina (1853),,,Schooner,,,1/12/1853,1853,1,12,"Indian River, DE  S 4 mi",,,Stranded,,,,,,,,"New Bern, NC","New Bern, NC","New York, NY",Eldridge,,,,,,Corn,,Y,N,Total loss,
South Carolina (1874),,NY & S Carolina SS Co,Sidewheel steam,1865,"Boston, MA",12/22/1874,1874,12,22,Barnegat Shoal,39-44-46 N,74-05-20 W,Stranded,Iron,US,260,35,12,1650,,"New York, NY","Charleston, SC","New York, NY",Beckett,46,,0,230000,90000,Cotton & dry goods,"#15, 16, 17,18",N,N,Refloated,
Sovereign (1835),,Black X Line,Packet,1830,"New York, NY",2/17/1835,1835,2,17,Squan Beach,39-58-45 N,74-02-00 W,Stranded,,,124.2,28.8,14.4,462,,,"London, England","New York, NY",,,,1,,,,,,N,,
St Francesco de Paula Costellina,,,,,,1794,1794,,,Little Egg Harbor bar,,,Stranded,,Italy,,,,,,,"Camcaret, France","New York, NY",Genovese,,,,,,,,,N,,
St Patrick,,David Ogden,Packet,1844,"Newburyport, ME",12/19/1854,1854,12,19,Barnegat Inlet S 2 mi,39-44-46 N,74-05-20 W,Stranded,Wood,US,,,,1149,,,"Liverpool, England","New York, NY",Stephen Whitman,10,400,0,45000,,Iron; general,,Y,N,Total loss,
St Paul,Knoxville,American Line,Steamer,1895,"Philadelphia, PA",1/25/1896,1896,1,25,Monmouth Beach LSS S 2 mi,,,Stranded,Steel,US,535.5,63,26.8,11629,5874,"New York, NY","Southampton, England","New York, NY",Jamison,630,,0,2750000,1800000,General,"Monmouth Beach, Long Branch, Seabright",N,Y,#116693; Refloated,
Stafford,,,Bark,1848,"Kingston, MA",6/3/1890,1890,6,3,Absecon LSS ENE 2 mi,,,Stranded,Wood,,93.3,23.6,10.5,155.85,148.06,"New Bedford, MA","Delaware Breakwater, Delaware","New York, NY",Tripp,6,,0,1000,,None,Absecon & Atlantic City,N,N,#22603; Refloated undamaged,
Stalwart,,Jacob Bingay,Sailing ship,1885,,1/3/03,1903,1,3,"Ship Bottom, NJ",,,Stranded,Wood,,216,40,22.8,1605,,"Yarmouth, NS","Buenos Aires, Argentina","New York, NY",,22,,0,,,Bones,,Y,N,Total loss,
Starlight (1866),,,Steamer,1864,"Brooklyn, NY",10/5/1866,1866,10,5,Barnegat Shoal,,,Stranded,,,,,,437,,,"Wilmington, NC","New York, NY",Pedrick,15,,0,,,,,Y,N,Total loss,
Starlight (1890),,,Brig,1874,"Fair Haven, CT",1890,1890,,,Sandy Hook Point,,,Stranded,,,116,29,11,256,243.4,"New York, NY","Demerara, British Guiana","New York, NY",Olstedt,9,,0,5000,35000,Sugar,,N,N,#115286; Refloated,
State of Nevada,,Allen Line,Steamer,1874,"Glasgow, Scotland",2/29/1880,1880,2,29,Sandy Hook,,,Stranded,,,,,,2488,,,"Glasgow, Scotland","New York, NY",,,,,,,,,N,N,Refloated,
Stella (1869),,W K Dudman & Co,Bark,1863,"Yarmouth, NS",7/25/1869,1869,7,25,Deal Beach,,,Stranded,,England,130,29.1,17,484,,"Yarmouth, NS","Middlesboro, England","New York, NY",Cain,,,,50000,50000,Railroad iron,,,N,,
Stephen Barnes,,S D Barnes & Co,Schooner,1875,,12/25/1878,1878,12,25,Barnegat LSS E .5 mi,,,Stranded,,,86,24.4,8.1,91.93,,"Philadelphia, PA","York River, VA","New York, NY",Wright,6,,0,,,Oysters,Barnegat & Loveladies,N,N,#115427; Refloated,
Stephen Harding,,T J Merrill,Schooner,1874,"Damariscotta, ME",2/3/1880,1880,2,3,Spermaceti Cove LSS N 1 mi,40-25-30 N,73-58-00 W,Collision,,,121.5,31.6,10.1,305,,"Damariscotta, ME","Cedar Keys, FL","New York, NY",Stephen Harding,8,,0,13000,5000,Lumber (hardpine),Spermaceti Cove #2,Y,N,#115256; Ship & cargo lost,See Misc File Drawer
Stratton Audley,,Glen & Co LTD,Ship,1864,"Glasgow, Scotland",3/23/1869,1869,3,23,Sandy Hook Romer Shoal,,,Stranded,Iron,England,205.5,34.6,21.1,998,,"Liverpool, England","Calcutta, India","New York, NY",,35,,,,300000,,,N,N,Refloated,
Sudie Wayman,,,Schooner,1871,"St Michaels, MD",9/2/1897,1897,9,2,Ocean City LSS NE 1.5 mi,,,Stranded,,,61.5,20.5,5,37,,"Baltimore, MD","Magothy, VA","New York, NY",Payson,4,,0,1000,350,Melons,Ocean City,N,N,#23976; Refloated,Scrapbook #15
Sudie Wayman,,,Schooner,1871,"St Michaels, MD",9/19/1899,1899,9,19,Atlantic City LSS S 1 mi,,,Stranded,,,61.5,20.5,5,37,,"Baltimore, MD","Norfolk, VA","New York, NY",Payson,4,,0,1500,500,Lumber,Atlantic City,Y,N,#23976; Total loss,
Susan Jane (1880),,James Andrews,Schooner,1876,"Greenbank, NJ",11/16/1880,1880,11,16,Little Egg Harbor shoal,,,Mechanical damage,,,66.6,23.9,5.5,49.2,46,"Tuckerton, NJ","Tuckerton, NJ","New York, NY",James Andrews,6,,0,1800,507,Charcoal & hay,Little Egg 23 & Little Beach 24,N,N,#22531; Refloated,
Susan Wright,,,Schooner,1867,"Belleville, NJ",2/26/1875,1875,2,26,"Long Branch, NJ",,,Collision,,,121.4,30.8,9.4,362,,"New York, NY","Matanzas, Cuba","New York, NY",W H Mount,,,,,,Sugar,Squan Beach #8,Y,N,Total loss,
T O Smith,,T O Smith,Schooner,1881,"Islip, NY",9/17/14,1914,9,17,Barnegat Inlet,,,Stranded,,,64,20.5,4.8,46,44,"Patchogue, NY","Port of Yorktown, Virginia","New York, NY",T O Smith,2,,,3600,,,Barnegat & Loveladies,N,N,#145269; Refloated; all saved,
T Tremlett,,,Schooner,,,7/1852,1852,7,,Squan Beach,,,Stranded,,England,,,,,,,"Nova Scotia, Canada","New York, NY",Bosajour,3,2,5,,,,,Y,N,Broke up,
Tamarac,,William & Henry Sarples,Sailing ship,1836,"Quebec, Canada",1/4/1837,1837,1,4,Fire Island Light E 3 mi,,,Stranded,Wood,England,,,,750,,"Liverpool, England","Liverpool, England","New York, NY",Kane,26,117,1,6000,,,,Y,N,Total loss,
Tampico (1874),,Brugiere & Theband,Schooner,1867,"City Island, NY",4/23/1874,1874,4,23,,,,Collision,Wood,,85.4,25.4,7.9,152,,"New York, NY","Rio Grande do Sul, Brazil","New York, NY",Bonhoff,,,1 (lost overboard),,,Wool & hides,,N,N,Partial Loss,
Tara III,,Transportation Corp of America,Yacht,1953,"Alkimaar, Netherlands",8/24/57,1957,8,24,Atlantic City E 3 mi,,,Burned,Steel,,59.5,15.9,8.6,61,50,"New York, NY","Annapolis, MD","New York, NY",J M Phipps,,6,0,200000,,,,Y,N,"Rescued by ""Elaina""/""Lone Ranger""",
Tartar (1867),,Thompson & Co,Sloop,1845,"Philadelphia, PA",2/2/1867,1867,2,2,Stickles Creek N,,,Stranded,Wood,,140,30.6,19.3,573,,"London, England","Calcutta, India","New York, NY",Folondsbee,19,,0,,,Jute,,,N,,
Tasso,,Cropton,Bark,1838,"Sunderland, England",12/20/1856,1856,12,20,Barnegat Inlet S 2 mi,,,Stranded,Wood,England,,,,282,,"St John, NB, Canada ","Rio de Janiero, Brazil","New York, NY",James Goldsworthy,13,2,6,,,Coffee & rosewood,,Y,N,Broke up; two of lost were surfmen,"Also see ""new York"" (1856)"
Telula,,,Schooner,,,6/1847,1847,6,,Highlands S 8 mi,,,Stranded,,,,,,,,,"Havana, Cuba","New York, NY",,,,,,,,,Y,N,Total loss,
Terence,,"Liverpool, Brazil, River Platt SS Co",Steamer,1902,"Glasgow, Scotland",10/7/03,1903,10,7,Highland Beach near Seabright,,,Stranded,Steel,,390.2,50.2,26.8,4309,2690,"Liverpool, England","São Luís, Brazil","New York, NY",Grimes,75,,0,700000,500000,"Coffee, hides, mail, passengers",,N,N,Refloated,
Texel,,U S Shipping Board,Steamer,1913,"Rotterdam, Denmark",6/2/18,1918,6,2,Two Mile Beach E 73 mi,39 01 31 N,73 06 89 W,War loss,Iron,US,332,48.2,23,3210,,,"Ponce, Puerto Rico","New York, NY",,,,,,,Sugar,,Y,Y,Black Sunday wreck,
Theresa Wolf,,Champion et al,Schooner,1874,"Mays Landing, NJ",8/11/1880,1880,8,11,Great Egg Harbor,,,Collision,,,,,,307,,"Great Egg Harbor, NJ","Port of Yorktown, Virginia","New York, NY",Kane,,,,,,,,N,N,#24990; Towed to Sandy Hook,
Thetis (1882),,F Gogorzas & Sons,Brig,1871,"Baltimore, MD",3/16/1882,1882,3,16,Ship Bottom LSS S .25 mi,,,Stranded,Wood,US,128,27,14.1,323,,"New York, NY","Bonaire, WI","New York, NY",Yuist,8,6,0,12000,15000,Salt & Rye wood,"Harvey Cedars #19, Ship Bottom #20, Long Beach #21",N,N,#24863; Total loss,
Thomas Corwin,,,Bark,,,9/10/1854,1854,9,10,,39-10-00 N,74-00-00 W,Stranded,,,,,,,,,"Cape Haytien, DE","New York, NY",,,,,,,,,N,N,Lost deck load & some sails,
Thomas Fletcher,,Charles L Wright & Co,Bark,1862,"Bath, ME",2/4/1875,1875,2,4,Wreck Pond Squan Beach N .5 mi,,,Stranded,,,144.1,32.2,14.1,,645,"Pendelton, SC","Hamburg, Germany","New York, NY",S Pendleton,,17,0,20000,15000,Assorted,Squan Beach #8,N,N,Refloated; TOwed to NY,
Thomas G Smith,,L Mathews,Schooner,1868,,2/10/1878,1878,2,10,Shark River Inlet,,,Stranded,Wood,US,,,,283,,"Philadelphia, PA","Georgetown, SC","New York, NY",L Hand,7,,0,15000,11000,"Resin, tar,cotton,rice, turpentine",Shark River # 7,N,Y,# 24595; Refloated,
Thomas H Benton,,,Brig,,,12/22/1845,1845,12,22,Squan Beach,,,Stranded,,,,,,,,"New York, NY","San Juan, Puerto Rico","New York, NY",Conn,,,,,,,,N,N,Refloated; Badly damaged,
Thomas J Beckett,,,,,,1/21/1855,1855,1,21,Absecon Beach,,,Stranded,,,,,,,,,"Port of Wilmington, North Carolina","New York, NY",,,,,,,,,,N,,
Thomas Jefferson,,,Schooner,1841,"East River, VA",9/22/1851,1851,9,22,"Highlands, NJ",,,Collision,Wood,US,68.9,20.9,6.1,82,,"Astoria, NY","Wilmington, DE","New York, NY",Phillips,4,,0,,,Coal,,Y,N,Abandoned before sinking,
Thomas W H White,,,Schooner,1867,"Tuckerton, NJ",4/12/1882,1882,4,12,Sandy Hook LSS NNW 3.25 mi,,,Stranded,,,114.6,29.6,9.2,214,203.03,"New York, NY","Port of Yorktown, Virginia","New York, NY",Smith,6,,0,16000,2000,Pine wood,Sandy Hook,N,N,#24956; Refloated,
Thomas W Haven,,,Schooner,1872,"Bath, ME",6/26/1893,1893,6,26,"Monmouth Beach, Long Branch",,,Stranded,,,126.9,32.9,10.2,314,299,"Greenport, NY","Lambert's Point, VA","Orient, NY",W H Potter,6,0,2,10000,1200,Coal,,Y,N,Total loss,
Thomas Winsmore,,William H Johnson,Schooner,1891,"Milton, DE",1/12/14,1914,1,12,Sandy Hook Romer Shoal,,,Stranded,Wood,,144.4,34.2,10.6,435,381,"Philadelphia, PA","Charleston, SC","New York, NY",M F Beale,8,,0,10000,8000,Lumber,,N,N,#145575; Refloated,See Misc File Drawer
Three Cheers,,J A Moren & Co,Brig,1873,"Guysborough, NS",3/24/1882,1882,3,24,Ship Bottom SW 1 mi,,,Stranded,Wood,England,102,25.8,11.2,185,,"Halifax, NS","Manzamillo, Cuba","New York, NY",B McConnell,7,,0,6000,18000,Sugar & Molasses,Ship Bottom,N,N,#69051; Refloated,See scrapbooks 38 - 43 - Purple Misc
Thunderbolt,,,Sloop,,,~1772,1772,,,Sandy Hook,,,Stranded,,,,,,,,,"St Croix, USVI","New York, NY",Newton,,,,,,,,N,N,Reloated; cargo lost,
Tolten,Lotta,,Freighter,1938,"Aalborg, Denmark",3/14/42,1942,3,14,Seaside Park E 13 mi,39-54-12 N,73-48-18 W,War loss,Steel,Chile,281.5,43.5,19.7,1858,1014,Chile,"Baltimore, MD","New York, NY",,29,,28,,,Nitrates,,Y,Y,"Formerly ""Lotta""; Sank",
Transit,,Thos Duntham's Nephew & Co,Ship,1860,"Bath, ME",4/14/1881,1881,4,14,Toms River LSS N 1 mi,,,Stranded,Wood,,172,35,23,1133,,"Bath, ME","Liverpool, England","New York, NY",Robert T A Hagen,16,,0,,,General,Toms River #13,N,N,#24058; Refloated; Near Old Cranberry Inlet,See scrapbooks 38 - 43 - Purple Misc
Trenton (1933),,,Tug,,,6/8/33,1933,6,8,Loveladies outer bar N 1 mi,,,Stranded,,,57,,,,,,"Philadelphia, PA","New York, NY",,,,,5000,,,,Y,N,Total loss,
Tropic,,Joseph Potter,Brig,1870,"Church Point, NS",3/16/1880,1880,3,16,Long Beach LSS N 1 mi,,,Stranded,,,91,25.3,10,157,,"Port-au-Prince, Haiti","Miragoane, Haiti","New York, NY",Potter,7,,7,8000,4000,Logwood,Long Beach #21,Y,N,Total loss,
Tsernogora,,J & J Hovitt et al,Ship,1877,"Plymouth, NS",3/28/1886,1886,3,28,Spring Lake LSS S 1 mi,40-08-03 N,74-01-03 W,Stranded,,England,194.5,38.3,22.8,1252,,"Yarmouth, NS","Havre, Belgium","New York, NY",Walker,19,,0,30000,8925,Empty naptha barrels,Spring Lake/Squan Beach,Y,N,Ship total loss; half cargo saved,
Turrialba,,Tropical Fruit SS Co,Steamer,1909,"Belfast, Ireland",12/24/12,1912,12,24,Little Egg Harbor South end,,,Stranded,Steel,England,378.8,50.3,29.1,4961,3088,"Glasgow, Scotland","Jamaica, WI","New York, NY",H L McKay,161,,0,500000,50000,"Bananas, coconuts & Gen merch",Little Egg/Little Beach,N,N,#128277; Refloated,
Udola,,J W Pope & Co,Brig,1861,"East Machies, ME",2/14/1871,1871,2,14,Barnegat Inlet S 2 mi,,,Stranded,,,,,12,359,,"New York, NY","Catalona, Spain","New York, NY",Whittemore,,,0,,8200,9000 barrels dried fruit,,Y,N,Broke up,
Umberto Primo,,,Bark,1878,"Cassano, Italy",3/14/1891,1891,3,14,Sandy Hook Romer Shoal,,,Stranded,Wood,Italy,150.6,30.3,17.9,534,509,Castellammare de Stabia. Italy,"Rosario, Argentina","New York, NY",Canzanio,12,,0,20000,100000,"Hides, wool",Sandy Hook & Spermaceti Cove,,N,#1196,
Underwriter,,Kermit &Carew,Passenger,1850,"New York, NY",4/18/1854,1854,4,18,Squan Inlet S 4.5 mi,40-01-42 N,73-03-00 W,Stranded,Wood,US,103,37.2,30.5,1168,,"New York, NY","Liverpool, England","New York, NY",Bird,,640,0,85000,150000,,,N,N,Refloated,
Valiant (1823),,,Sloop,,,12/1823,1823,12,,Cape May,,,Stranded,,,,,,,,,"New Bern, NC","New York, NY",,,,,,,,,,N,Entered Delaware Bay for shelter,
Valiant (1842),,,Schooner,,,7/9/1842,1842,7,9,Sandy Hook,,,Stranded,,,,,,,,,"Baltimore, MD","New York, NY",Honeywell,,,,,,,,Y,N,Total loss,
